utterance_id	asr_transcript
ACWT02a-BNT01-house	HH AY S
ACWT02a-BNT02-comb	HH OW M
ACWT02a-BNT03-toothbrush	AA K S T AH P  R AH S
ACWT02a-BNT04-octopus	AA T AH
ACWT02a-BNT05-bench	B EH N CH
ACWT02a-BNT06-volcano	AH T EH L
ACWT02a-BNT07-canoe	P  AE L ER
ACWT02a-BNT08-beaver	B IY P ER
ACWT02a-BNT09-cactus	
ACWT02a-BNT10-hammock	K L AH T
ACWT02a-BNT11-stethoscope	
ACWT02a-BNT12-unicorn	P  R AA AY
ACWT02a-BNT15-palette	P  AE L AH T
ACWT02a-VNT01-cut	K  AE P  AO L IH N NG
ACWT02a-VNT02-bark	B AA R  P  L IH NG
ACWT02a-VNT03-put	T T
ACWT02a-VNT04-send	M  AE L IH NG
ACWT02a-VNT05-drive	P  R AY T IH NG
ACWT02a-VNT06-wash	W AA SH IH NG
ACWT02a-VNT07-read	T T T
ACWT02a-VNT08-laugh	L  AE CH IH N
ACWT02a-VNT09-watch	W AA CH IH N  P AH
ACWT02a-VNT10-give	K T
ACWT02a-VNT11-swim	HH AW L IH M
ACWT02a-VNT12-stir	T  T  T  T
ACWT02a-VNT13-pinch	P IH N CH IH NG
ACWT02a-VNT14-crawl	P AA OW M
ACWT02a-VNT15-deliver	T T T
ACWT02a-VNT18-throw	L  AE F IH NG
ACWT02a-VNT19-bite	B AY T IH NG
ACWT02a-VNT20-shove	S AH P IH NG
ACWT02a-VNT21-tickle	HH AW S
ACWT02a-VNT22-shave	SH EY V IH NG
ACWT09a-BNT01-house	P EY R L IH JH
ACWT09a-BNT02-comb	K OW M
ACWT09a-BNT03-toothbrush	T UW TH B  R AH S
ACWT09a-BNT04-octopus	AA K  T AH P UH S
ACWT09a-BNT05-bench	B EH N CH
ACWT09a-BNT06-volcano	B AA R  P AA
ACWT09a-BNT07-canoe	R AW T
ACWT09a-BNT08-beaver	B IY V ER
ACWT09a-BNT09-cactus	P AA K IH NG
ACWT09a-BNT10-hammock	HH AW S
ACWT09a-BNT12-unicorn	K  Y UW N IH K AO R  N
ACWT09a-BNT13-tripod	T  R AY P AA D
ACWT09a-BNT14-sphinx	HH AO R  S  T
ACWT09a-VNT01-cut	
ACWT09a-VNT03-put	T P  AE S  T T
ACWT09a-VNT04-send	T  R AH P AA
ACWT09a-VNT05-drive	K  R IH M UH S
ACWT09a-VNT07-read	R IY D IH NG
ACWT09a-VNT08-laugh	L  AE F IH N
ACWT09a-VNT09-watch	S  EH
ACWT09a-VNT11-swim	HH IY Z AA S  T  R IY D IH NG
ACWT09a-VNT12-stir	S  T ER IH NG
ACWT09a-VNT13-pinch	T IH L P  R AA S AH
ACWT09a-VNT14-crawl	
ACWT09a-VNT15-deliver	S  IH NG
ACWT09a-VNT17-howl	CH CH IH
ACWT09a-VNT18-throw	P AA R  Z AH N  T
ACWT09a-VNT19-bite	K  T T
ACWT09a-VNT20-shove	SH AH V IH T
ACWT09a-VNT21-tickle	T  K AH T
ACWT09a-VNT22-shave	SH EY V IH N
ACWT10a-BNT01-house	HH AW S
ACWT10a-BNT02-comb	K OW M
ACWT10a-BNT03-toothbrush	T UW TH B  R AH SH
ACWT10a-BNT04-octopus	Y IY V OW
ACWT10a-BNT05-bench	T  R OW M
ACWT10a-BNT06-volcano	M EY K  AE N OW
ACWT10a-BNT07-canoe	D AH B OW T T
ACWT10a-BNT10-hammock	HH  AE M AH K
ACWT10a-BNT15-palette	K AH IH NG IH T
ACWT10a-VNT02-bark	AE T S AH K  L OW
ACWT10a-VNT04-send	M AA AY OW
ACWT10a-VNT05-drive	AA R  IH NG
ACWT10a-VNT06-wash	W AA SH
ACWT10a-VNT07-read	B UW M
ACWT10a-VNT08-laugh	L  AE F IH N
ACWT10a-VNT09-watch	T IY V IY
ACWT10a-VNT10-give	P ER D ER N  B  R OW
ACWT10a-VNT11-swim	S  P AO R IH NG
ACWT10a-VNT12-stir	K UW L EY
ACWT10a-VNT13-pinch	P IH N CH IH N
ACWT10a-VNT14-crawl	P  R ER N
ACWT10a-VNT15-deliver	M EY L  M  AE N
ACWT10a-VNT16-pour	P ER M ER
ACWT10a-VNT17-howl	W EH M AH
ACWT10a-VNT18-throw	D AH B AA L
ACWT10a-VNT19-bite	B  R AA P  R OW
ACWT10a-VNT20-shove	P UH SH IH M IH N
ACWT10a-VNT21-tickle	L  AE F IH N
ACWT10a-VNT22-shave	SH EY V IH NG
ACWT11a-BNT01-house	HH AW S
ACWT11a-BNT02-comb	K OW M
ACWT11a-BNT05-bench	B EH N CH
ACWT11a-BNT07-canoe	B ER M
ACWT11a-BNT08-beaver	P UW M
ACWT11a-BNT09-cactus	T AA K  T AH S
ACWT11a-BNT11-stethoscope	B AA K  T ER
ACWT11a-BNT15-palette	P ER
ACWT11a-VNT01-cut	T CH
ACWT11a-VNT02-bark	B AA R  K IH N
ACWT11a-VNT03-put	P UH T IH  DH IH S  W N DH EY R
ACWT11a-VNT04-send	HH IY Z  M EY K IH NG
ACWT11a-VNT05-drive	T
ACWT11a-VNT06-wash	K  M  AE
ACWT11a-VNT07-read	AH N AA K  T AH P AA T L AY
ACWT11a-VNT08-laugh	B ER B
ACWT11a-VNT09-watch	T T  T
ACWT11a-VNT10-give	
ACWT11a-VNT11-swim	AH K AW T
ACWT11a-VNT13-pinch	P IH EY N  D
ACWT11a-VNT14-crawl	AH HH AW  L AH R AA K UW
ACWT11a-VNT15-deliver	K AH T
ACWT11a-VNT16-pour	L AA DX ER
ACWT11a-VNT17-howl	T  T  T
ACWT11a-VNT18-throw	HH AW AH  B AA R  K  W AW N
ACWT11a-VNT19-bite	DH IH S  K AA
ACWT11a-VNT20-shove	OW EY R  S AH TH IH NG AY D
ACWT11a-VNT21-tickle	AH HH AW L HH AW L
ACWT11a-VNT22-shave	T T
ACWT12a-BNT01-house	IH T  S AH HH AW S
ACWT12a-BNT02-comb	K P AO R  N
ACWT12a-BNT03-toothbrush	DH AH AW S
ACWT12a-BNT04-octopus	M  AE S  P AH
ACWT12a-BNT05-bench	CH EY R
ACWT12a-BNT07-canoe	K AH N UW
ACWT12a-BNT09-cactus	AH K  AE K  T AH S
ACWT12a-BNT10-hammock	S  K W IH IH NG
ACWT12a-BNT12-unicorn	Y UW N AH K OW M
ACWT12a-BNT13-tripod	HH AW S
ACWT12a-BNT14-sphinx	F  L IH NG K  S
ACWT12a-BNT15-palette	HH AW L ER
ACWT12a-VNT01-cut	P ER V ER IH NG
ACWT12a-VNT02-bark	B AA R  K IH NG
ACWT12a-VNT03-put	
ACWT12a-VNT04-send	T T
ACWT12a-VNT05-drive	AH HH AW L
ACWT12a-VNT06-wash	HH IH Z  R AA SH IH N NG D IH SH AH Z
ACWT12a-VNT07-read	AH AW  S
ACWT12a-VNT08-laugh	AH L  AE F IH NG
ACWT12a-VNT09-watch	R AY AY  T
ACWT12a-VNT10-give	
ACWT12a-VNT11-swim	K T
ACWT12a-VNT12-stir	K UH K IH NG
ACWT12a-VNT13-pinch	HH AW S  P
ACWT12a-VNT14-crawl	HH AW HH AW IH NG
ACWT12a-VNT15-deliver	CH AH K IH NG
ACWT12a-VNT16-pour	HH AW
ACWT12a-VNT17-howl	G AA G AH N HH AW L
ACWT12a-VNT18-throw	AH HH AA R L Z HH AA R HH AW
ACWT12a-VNT19-bite	AW AW AW
ACWT12a-VNT20-shove	OW P AA S AH N IH
ACWT12a-VNT21-tickle	T
ACWT12a-VNT22-shave	SH EY V IH NG
BU07a-BNT01-house	HH AW S
BU07a-BNT02-comb	K OW M
BU07a-BNT03-toothbrush	T IY TH
BU07a-BNT04-octopus	AA K  T AH B AA S
BU07a-BNT10-hammock	L AA IH NG
BU07a-BNT11-stethoscope	S  T EH S AH S  K OW P
BU07a-BNT12-unicorn	L AY AH N  N OW
BU07a-BNT13-tripod	T EH L AH S  K OW
BU07a-VNT01-cut	AA  T AH P  R AY
BU07a-VNT02-bark	R  AE L IH T
BU07a-VNT03-put	T
BU07a-VNT04-send	
BU07a-VNT05-drive	D EH T
BU07a-VNT06-wash	
BU07a-VNT07-read	IH T  S HH AH T
BU07a-VNT08-laugh	T  AE K  T
BU07a-VNT09-watch	
BU07a-VNT10-give	K T  T
BU07a-VNT12-stir	T  T
BU07a-VNT13-pinch	
BU07a-VNT14-crawl	
BU07a-VNT15-deliver	AA AH P EY N  T  S  T
BU07a-VNT16-pour	P AO R  IH N
BU07a-VNT17-howl	
BU07a-VNT18-throw	
BU07a-VNT19-bite	
BU07a-VNT20-shove	
BU07a-VNT21-tickle	K IH T T
BU07a-VNT22-shave	P AA Z AH L
adler01a-BNT01-house	AH HH AW S
adler01a-BNT02-comb	K  UW M
adler01a-BNT03-toothbrush	T UW TH B  R AH SH
adler01a-BNT04-octopus	M  AE K AH N  P UH SH
adler01a-BNT05-bench	B EH N D CH
adler01a-BNT06-volcano	V AA L  K EY N OW
adler01a-BNT07-canoe	K OW M
adler01a-BNT09-cactus	K  AE K  K AH S
adler01a-BNT10-hammock	W UW M
adler01a-BNT11-stethoscope	AH S EH TH AH S  K OW P
adler01a-BNT12-unicorn	M EY AW N N
adler01a-BNT13-tripod	P  R EH N  W IH N
adler01a-BNT14-sphinx	S  F P  R IH N CH
adler01a-VNT01-cut	K AH DX IH NG AH P IY S AH V IH NG
adler01a-VNT02-bark	B AA R  K IH NG
adler01a-VNT03-put	AH P  R EY AY S  T AA
adler01a-VNT04-send	M EY L IH NG AH L EH DX ER
adler01a-VNT05-drive	T  T
adler01a-VNT06-wash	T
adler01a-VNT07-read	AH R IY D IH D N
adler01a-VNT08-laugh	CH
adler01a-VNT09-watch	B IY DX IY
adler01a-VNT10-give	HH AW
adler01a-VNT11-swim	S  W IH NG
adler01a-VNT12-stir	B AH AW T
adler01a-VNT13-pinch	
adler01a-VNT14-crawl	AE K T AH P UH S
adler01a-VNT15-deliver	K AH T T
adler01a-VNT16-pour	
adler01a-VNT17-howl	
adler01a-VNT18-throw	
adler01a-VNT19-bite	DH AH L EH M  AE N
adler01a-VNT20-shove	AH HH AA  T
adler01a-VNT21-tickle	L  AE F IH NG
adler01a-VNT22-shave	SH EY V IH N
adler02a-BNT01-house	AW L
adler02a-BNT02-comb	K OW M
adler02a-BNT03-toothbrush	T IH Z AH B R AH SH
adler02a-BNT04-octopus	AA K  T AH P UH S
adler02a-BNT05-bench	CH EY R
adler02a-BNT07-canoe	K AH N
adler02a-VNT01-cut	
adler02a-VNT02-bark	AH HH S AH K AH T
adler02a-VNT03-put	
adler02a-VNT04-send	
adler02a-VNT05-drive	AA R K  T AH
adler02a-VNT06-wash	
adler02a-VNT07-read	
adler02a-VNT08-laugh	CH
