utterance_id	asr_transcript
whiteside09a-BNT15-palette	P EY N  T IH NG
scale24a-VNT18-throw	
wright204a-BNT05-bench	B UH SH
tap06a-VNT14-crawl	V AA
tcu03a-VNT13-pinch	
ACWT12a-VNT21-tickle	T
wright202a-VNT14-crawl	
whiteside15a-VNT06-wash	P AA R D IH NG
fridriksson02a-BNT11-stethoscope	S  T EH TH AH  V OW
scale30a-VNT03-put	
tap17a-VNT05-drive	
scale38a-VNT20-shove	T
scale13a-VNT08-laugh	D AH L  AE F IH NG
thompson10a-VNT21-tickle	
whiteside02a-VNT21-tickle	T T T
scale04a-VNT06-wash	W AA SH IH NG
thompson07a-BNT07-canoe	K AH N UW
tap07a-VNT01-cut	OW T
kansas11a-BNT08-beaver	B IY V ER
whiteside09a-VNT13-pinch	P IH NG K IH NG
thompson11a-VNT01-cut	T UW L  B  R AH SH
tcu03a-VNT07-read	
tap07a-VNT15-deliver	
elman02a-BNT01-house	HH AW S
tap17a-VNT07-read	
tap07a-BNT03-toothbrush	T  R UW TH B  R AH SH
scale04a-VNT17-howl	T
ACWT10a-BNT15-palette	K AH IH NG IH T
kansas23a-VNT01-cut	AH T  R AY
tcu08a-BNT07-canoe	K EY N UW
tcu05a-BNT03-toothbrush	T UW TH B  R AH SH
tap09a-VNT19-bite	
adler01a-BNT13-tripod	P  R EH N  W IH N
adler20a-VNT21-tickle	
thompson14a-VNT19-bite	W AA N AA OW IH M
wright204a-BNT01-house	OW K EY DH  AE T  S AH HH AW S
elman02a-VNT17-howl	
tcu03a-VNT07-read	
adler01a-VNT08-laugh	CH
kempler02a-VNT14-crawl	AE K  N OW P
williamson03a-BNT07-canoe	K AH N UW
scale13a-VNT22-shave	
cmu03a-BNT04-octopus	S  K  W IH D
elman02a-BNT03-toothbrush	IY SH R OW P
elman14a-VNT02-bark	AW
kempler04a-VNT19-bite	
fridriksson06a-VNT19-bite	B AY T
thompson14a-VNT03-put	HH OW L  K P AH L IH NG Z
thompson11a-VNT21-tickle	DH  AE T K  T T
kansas09a-VNT15-deliver	
tcu03a-VNT20-shove	OW
scale06a-BNT14-sphinx	F IH NG K  S
elman12a-VNT15-deliver	AW
thompson11a-BNT13-tripod	T EH  L IH NG K  L AY AA
kansas09a-VNT15-deliver	
tap19a-BNT01-house	AH HH AW S
whiteside02a-VNT14-crawl	T  T
kempler02a-BNT01-house	EY HH AW S
thompson07a-BNT14-sphinx	S  T IH  S
williamson14a-VNT05-drive	D  R AY V IH NG
williamson12a-VNT19-bite	G  R  AE B IH NG
kansas09a-VNT19-bite	P IH S  T
scale08a-VNT03-put	HH OW  P L T  AA K  S AH Z
scale06a-VNT03-put	W IH F D
thompson08a-BNT04-octopus	AA K  T AH P UH S
tap04a-VNT03-put	
tucson20a-VNT18-throw	
williamson04a-VNT13-pinch	P EY N  T IH
whiteside09a-VNT03-put	T
scale33a-VNT20-shove	P UH SH IH NG
wright204a-VNT01-cut	F AA
thompson14a-VNT22-shave	
tucson20a-VNT20-shove	SH AH V IH NG HH ER
elman12a-VNT06-wash	AH CH
williamson04a-BNT10-hammock	M  AE K  B EH N CH
whiteside14a-BNT12-unicorn	Y UW N IH K AO R  N
kansas13a-VNT14-crawl	S  T  W IH T
scale33a-VNT02-bark	B AA R  K IH NG
ACWT09a-VNT01-cut	
elman08a-VNT03-put	
whiteside09a-BNT13-tripod	ER DH IH
elman12a-VNT01-cut	
williamson12a-BNT04-octopus	HH  AE AA  R AH
whiteside07a-BNT07-canoe	K AH N UW
thompson10a-BNT02-comb	K OW M
elman14a-BNT08-beaver	M AW S
ACWT02a-VNT21-tickle	HH AW S
whiteside01a-VNT09-watch	L UH K IH NG  AE T DH AH K  AE T
elman12a-VNT22-shave	SH EY V
tap09a-VNT19-bite	
cmu03a-VNT21-tickle	AH M K AH P
kempler02a-BNT15-palette	P OW L  TH IH NG
tap13a-VNT13-pinch	K  R
fridriksson02a-VNT14-crawl	K  R AO L IH N
ACWT12a-VNT01-cut	P ER V ER IH NG
fridriksson06a-BNT02-comb	K OW M
williamson04a-VNT05-drive	D  R AY V IH NG
kempler02a-VNT22-shave	OW K
williamson03a-BNT02-comb	K OW M
kansas16a-VNT07-read	
elman11a-BNT09-cactus	K  AE K  K AH S
elman10a-VNT09-watch	W AA CH IH NG T IH AH IH
tucson20a-VNT12-stir	
elman11a-VNT05-drive	D  R AY V IH NG
ACWT10a-VNT21-tickle	L  AE F IH N
wright203a-VNT01-cut	AO AA UW
scale23a-VNT17-howl	AA S  T OW
whiteside01a-VNT03-put	P UH DX IH NG IH T AA N AH T EY B AH L AY
williamson03a-VNT15-deliver	K
scale23a-VNT08-laugh	DH EY R  L  AE F IH NG
williamson12a-BNT01-house	HH AW S
elman14a-VNT03-put	K
kempler02a-BNT02-comb	K OW M
fridriksson09a-VNT06-wash	K K OW N
adler20a-VNT09-watch	
kansas17a-VNT22-shave	HH S OW L  V IH NG
fridriksson09a-VNT21-tickle	K IH K AH N IH NG
thompson02a-BNT06-volcano	AA K  T AH P UH <UNK>
tucson20a-VNT02-bark	B AA R  K IH NG
elman10a-VNT17-howl	D AA G  Z  B AA R  K IH NG
tcu07a-VNT13-pinch	
scale20a-VNT01-cut	K  AE CH IH N
ACWT10a-VNT08-laugh	L  AE F IH N
thompson11a-VNT05-drive	D  R AY V IH NG
adler01a-VNT20-shove	AH HH AA  T
whiteside02a-BNT07-canoe	K AH N UW
scale20a-BNT02-comb	K OW M
kempler03a-VNT09-watch	
fridriksson06a-VNT14-crawl	W UH K IH N
tap19a-VNT05-drive	T T T
kansas23a-VNT18-throw	
ACWT12a-VNT15-deliver	CH AH K IH NG
tap18a-VNT11-swim	S  W IH M IH NG
kansas13a-VNT06-wash	R AH
scale23a-VNT13-pinch	AA OW K OW M
scale06a-BNT10-hammock	G  R AA  AE K UH
BU07a-BNT01-house	HH AW S
ACWT11a-BNT08-beaver	P UW M
wright204a-VNT05-drive	HH IY Z  D  R AY V IH NG AH K AA R
elman02a-VNT17-howl	
adler20a-BNT12-unicorn	IH M IH K AO R  N
kansas13a-BNT02-comb	K OW M
tap13a-VNT08-laugh	L  AE F IH NG
